article,MeasuredDemand,PorcentualMeasuredDemand,CumulativePercentage,Category
TRADITIONAL BAGUETTE,145533.75,25.862703203939034,25.862703203939034,A
FORMULE SANDWICH,35419.5,6.294375126951094,32.15707833089013,A
CROISSANT,33770.45,6.001323578987437,38.15840190987757,A
PAIN AU CHOCOLAT,31262.149999999998,5.555575301035139,43.71397721091271,A
BANETTE,24704.3,4.390184261458741,48.10416147237145,A
BAGUETTE,20578.2,3.65693785167563,51.76109932404708,A
SANDWICH COMPLET,13659.5,2.4274204053300714,54.18851972937715,A
SPECIAL BREAD,13498.6,2.398826976345291,56.58734670572244,A
TRAITEUR,12368.4,2.197979907118449,58.78532661284089,A
GRAND FAR BRETON,10786.0,1.9167726850829203,60.70209929792381,A
TARTELETTE,10398.5,1.8479103250356708,62.55000962295948,A
CEREAL BAGUETTE,9538.050000000001,1.6950003438675274,64.24500996682701,A
VIK BREAD,9322.2,1.6566417879547564,65.90165175478177,A
BRIOCHE,9274.0,1.6480761989114594,67.54972795369322,A
GD KOUIGN AMANN,8135.0,1.4456652877016092,68.99539324139484,A
CAMPAGNE,8111.0,1.441400264111586,70.43679350550643,A
BOULE 400G,7574.8,1.346112528737818,71.78290603424425,A
ECLAIR,7536.6,1.339324032857031,73.12223006710128,A
MOISSON,6948.3,1.2347776421065877,74.35700770920788,A
SAND JB EMMENTAL,6702.5,1.1910966921721002,75.54810440137997,A
COMPLET,5817.1,1.0337528635634947,76.58185726494347,A
KOUIGN AMANN,5197.8,0.9236974840092715,77.50555474895273,A
PAIN BANETTE,4418.9,0.7852796975813939,78.29083444653412,A
DIVERS VIENNOISERIE,4293.75,0.7630393766525856,79.0538738231867,A
FINANCIER X5,4148.0,0.7371382438090073,79.79101206699572,A
PAIN AUX RAISINS,3997.2999999999997,0.7103574498499867,80.5013695168457,B
COOKIE,3989.9,0.7090424009097296,81.21041191775542,B
TARTE FRUITS 4P,3630.0,0.6450848179910069,81.85549673574643,B
TARTE FRUITS 6P,3608.0,0.6411752130334857,82.49667194877992,B
COUPE,3540.1499999999996,0.6291176359258575,83.12578958470577,B
BOULE 200G,3512.15,0.6241417750708306,83.7499313597766,B
CROISSANT AMANDES,3453.2999999999997,0.6136835818094611,84.36361494158606,B
