,Harina de Trigo (g),Harina de Centeno (g),Harina de Almendra (g),Harina de Cereales (g),Harina de Espelta (g),Manteca (g),Leche (ml),Sal (g),AzÃºcar (g),Levadura Fresca (g),Rodaja de Tomate (u),Hoja de Lechuga (u),Feta de JamÃ³n (u),Feta de Queso (u),Huevo (u),Chocolate Glaseado (g),Chocolate Barra (g),Ciruela (u)
TRADITIONAL BAGUETTE,125.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORMULE SANDWICH,125.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CROISSANT,60.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAIN AU CHOCOLAT,60.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
BANETTE,130.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAGUETTE,125.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDWICH COMPLET,125.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SPECIAL BREAD TRAITEUR,100.0,25.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAND FAR BRETON,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
TARTELETTE,40.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
CEREAL BAGUETTE,90.0,0.0,0.0,35.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIK BREAD,80.0,0.0,0.0,0.0,45.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRIOCHE,70.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
GD KOUIGN AMANN,75.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPAGNE,100.0,25.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOULE 400G,200.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECLAIR,25.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0
MOISSON,80.0,25.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAND JB EMMENTAL,125.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
COMPLET,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOUIGN AMANN,50.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAIN BANETTE,130.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIVERS VIENNOISERIE,60.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINANCIER X5,50.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
