Temporada,Insumo,Media_CTE,DE_CTE
1,Azúcar,112294.44688464995,46533.39450762831
1,Harina de Trigo,4623093.790206191,2129693.9320796058
1,Manteca,4026442.9592315005,1041957.1856192981
1,Sal,154245.60864867733,64029.46012219382
2,Azúcar,317602.13081537565,132667.32895040783
2,Harina de Trigo,10456534.355298908,4172916.094823853
2,Manteca,5897855.494647751,2984698.9089698065
2,Sal,303014.9923873845,106291.6593046926
3,Azúcar,214750.19146336825,51342.30915263459
3,Harina de Trigo,7193366.897090308,1167203.3403868705
3,Manteca,4474457.452637056,1114956.2906254889
3,Sal,222089.57636389948,27226.27852908095
4,Azúcar,139148.44025383398,40173.673704905734
4,Harina de Trigo,5370314.473169847,1659365.9685838593
4,Manteca,3526728.290253099,974325.3360267519
4,Sal,171837.7434539251,44152.33126667501
