Temporada,Insumo,Media_CTE,DE_CTE
1,Azúcar,139085.40109845018,16862.182393363713
1,Harina de Trigo,4580160.380919294,125466.27034620129
1,Manteca,4139294.4118154943,119048.09277055105
1,Sal,167314.4103947496,19092.074452760397
2,Azúcar,289588.7930756338,37182.85725729979
2,Harina de Trigo,10994273.115108225,261132.96482387543
2,Manteca,6486784.524857057,149872.88894906756
2,Sal,342084.0748193902,39730.45721336771
3,Azúcar,223481.55658635675,25318.192075890263
3,Harina de Trigo,7565611.940458715,166410.44374697885
3,Manteca,4603999.058180336,120972.47320662581
3,Sal,247543.9165952932,25177.85713882381
4,Azúcar,164462.5700485509,17944.635307903132
4,Harina de Trigo,5603760.628105272,131888.07071518846
4,Manteca,3653420.3653181507,119632.44441322242
4,Sal,194344.77759009408,20017.475569238824
