Temporada,Insumo,q,Muestra,Demanda_Total,CTE
1,Harina de Trigo,1,1,3012.495187773408,5255541.922950029
1,Harina de Trigo,1,2,4121.83249073373,7101391.69769774
1,Harina de Trigo,1,3,2254.658023496335,3994560.6549052545
1,Harina de Trigo,1,4,4149.966221191571,7148204.006172213
1,Harina de Trigo,1,5,2489.134205691255,4384710.528107235
1,Harina de Trigo,1,6,3402.5882946016377,5904626.084681565
1,Harina de Trigo,1,7,2906.361112499978,5078943.192867009
1,Harina de Trigo,1,8,2523.1546189679557,4441317.812488682
1,Harina de Trigo,1,9,3386.040454127392,5877091.783319448
1,Harina de Trigo,1,10,3065.267490759112,5343350.872779029
1,Harina de Trigo,1,11,1078.3677328133633,2037306.3894073055
1,Harina de Trigo,1,12,2350.7620197183683,4154470.1245547575
1,Harina de Trigo,1,13,3854.1930248483804,6656060.73614101
1,Harina de Trigo,1,14,3657.445750037512,6328688.789012989
1,Harina de Trigo,1,15,1745.5077517739367,3147374.761251827
1,Harina de Trigo,1,16,999.2540469097265,1905667.4560414164
1,Harina de Trigo,1,17,3127.8400004799023,5447466.593638053
1,Harina de Trigo,1,18,4531.5717270727455,7783165.469375119
1,Harina de Trigo,1,19,969.4773448381359,1856121.3723886784
1,Harina de Trigo,1,20,2426.701154415587,4280826.855101311
1,Harina de Trigo,1,21,2443.6213269480068,4308980.687641076
1,Harina de Trigo,1,22,2892.7843160279726,5056352.474387812
1,Harina de Trigo,1,23,1940.1142667703664,3471184.652897961
1,Harina de Trigo,1,24,3093.271893653606,5389947.990388618
1,Harina de Trigo,1,25,2863.7083573917976,5007972.37254148
1,Harina de Trigo,1,26,261.4560409724814,678029.7669144307
1,Harina de Trigo,1,27,1250.1388690896315,2323120.011970621
1,Harina de Trigo,1,28,82.02813766134256,379475.8879215366
1,Harina de Trigo,1,29,4203.575505291331,7237405.626559324
1,Harina de Trigo,1,30,3456.8335034700895,5994885.83372613
1,Harina de Trigo,1,31,1778.5443142682668,3202344.995531219
1,Harina de Trigo,1,32,2557.051157944437,4497718.979804969
1,Harina de Trigo,1,33,2943.6151830914614,5140931.027970201
1,Harina de Trigo,1,34,2769.2148754284226,4850742.671591397
1,Harina de Trigo,1,35,1100.2615037685603,2073735.8974371764
1,Harina de Trigo,1,36,4129.443152053749,7114055.237854327
1,Harina de Trigo,1,37,2889.733961216603,5051276.924574026
1,Harina de Trigo,1,38,1869.9752851716587,3354478.919628628
1,Harina de Trigo,1,39,2437.5867408077493,4298939.612272957
1,Harina de Trigo,1,40,2952.1672187422355,5155160.940763623
1,Harina de Trigo,1,41,6104.005936167444,10399571.969830513
1,Harina de Trigo,1,42,1100.1322418099485,2073520.815733397
1,Harina de Trigo,1,43,2597.4883647812667,4565003.302555143
1,Harina de Trigo,1,44,346.6773655092876,819831.3292347338
1,Harina de Trigo,1,45,1769.3069952517944,3186974.825268011
1,Harina de Trigo,1,46,1205.87038340123,2249460.743398021
1,Harina de Trigo,1,47,5875.767652017738,10019801.466970567
1,Harina de Trigo,1,48,3042.8819811446065,5306103.150405245
1,Harina de Trigo,1,49,4027.0563320349793,6943691.644955711
1,Harina de Trigo,1,50,1249.4234577659965,2321929.623955128
1,Harina de Trigo,2,1,3012.495187773408,5279347.227131608
1,Harina de Trigo,2,2,4121.83249073373,7098751.598093674
1,Harina de Trigo,2,3,2254.658023496335,4036431.9790066476
1,Harina de Trigo,2,4,4149.966221191571,7144893.228804071
1,Harina de Trigo,2,5,2489.134205691255,4420992.193139458
1,Harina de Trigo,2,6,3402.5882946016377,5919131.990297405
1,Harina de Trigo,2,7,2906.361112499978,5105278.618832585
1,Harina de Trigo,2,8,2523.1546189679557,4476788.467593035
1,Harina de Trigo,2,9,3386.040454127392,5891992.171588989
1,Harina de Trigo,2,10,3065.267490759112,5365898.142224526
1,Harina de Trigo,2,11,1078.3677328133633,2107219.2042466677
1,Harina de Trigo,2,12,2350.7620197183683,4194050.433129382
1,Harina de Trigo,2,13,3854.1930248483804,6659800.872489908
1,Harina de Trigo,2,14,3657.445750037512,6337119.168006945
1,Harina de Trigo,2,15,1745.5077517739367,3201383.6782091875
1,Harina de Trigo,2,16,999.2540469097265,1977466.255750402
1,Harina de Trigo,2,17,3127.8400004799023,5468522.201998115
1,Harina de Trigo,2,18,4531.5717270727455,7770757.628685549
1,Harina de Trigo,2,19,969.4773448381359,1928630.0165314414
1,Harina de Trigo,2,20,2426.701154415587,4318596.856680181
1,Harina de Trigo,2,21,2443.6213269480068,4346347.330571906
1,Harina de Trigo,2,22,2892.7843160279726,5083011.556525285
1,Harina de Trigo,2,23,1940.1142667703664,3520554.360613314
1,Harina de Trigo,2,24,3093.271893653606,5411827.665099542
1,Harina de Trigo,2,25,2863.7083573917976,5035324.594145673
1,Harina de Trigo,2,26,261.4560409724814,767416.8746404521
1,Harina de Trigo,2,27,1250.1388690896315,2388937.9883461334
1,Harina de Trigo,2,28,82.02813766134256,473140.36317212647
1,Harina de Trigo,2,29,4203.575505291331,7232816.861728853
1,Harina de Trigo,2,30,3456.8335034700895,6008098.5921196295
1,Harina de Trigo,2,31,1778.5443142682668,3255566.3565013064
1,Harina de Trigo,2,32,2557.051157944437,4532381.57801105
1,Harina de Trigo,2,33,2943.6151830914614,5166378.35710822
1,Harina de Trigo,2,34,2769.2148754284226,4880347.515800966
1,Harina de Trigo,2,35,1100.2615037685603,2143126.7884110417
1,Harina de Trigo,2,36,4129.443152053749,7111233.708300013
1,Harina de Trigo,2,37,2889.733961216603,5078008.723877379
1,Harina de Trigo,2,38,1869.9752851716587,3405520.664951066
1,Harina de Trigo,2,39,2437.5867408077493,4336450.113223104
1,Harina de Trigo,2,40,2952.1672187422355,5180404.398603553
1,Harina de Trigo,2,41,6104.005936167444,10349678.995020866
1,Harina de Trigo,2,42,1100.1322418099485,2142914.7881728187
1,Harina de Trigo,2,43,2597.4883647812667,4598701.921401735
1,Harina de Trigo,2,44,346.6773655092876,907186.8525792429
1,Harina de Trigo,2,45,1769.3069952517944,3240416.393951871
1,Harina de Trigo,2,46,1205.87038340123,2316334.032685021
1,Harina de Trigo,2,47,5875.767652017738,9975349.446474433
1,Harina de Trigo,2,48,3042.8819811446065,5329184.06623505
1,Harina de Trigo,2,49,4027.0563320349793,6943310.906665243
1,Harina de Trigo,2,50,1249.4234577659965,2387764.6549643176
1,Harina de Trigo,3,1,3012.495187773408,5259854.266291771
1,Harina de Trigo,3,2,4121.83249073373,7088889.151232329
1,Harina de Trigo,3,3,2254.658023496335,4010359.98996275
1,Harina de Trigo,3,4,4149.966221191571,7135275.019906887
1,Harina de Trigo,3,5,2489.134205691255,4396955.7672594655
1,Harina de Trigo,3,6,3402.5882946016377,5903025.553203048
1,Harina de Trigo,3,7,2906.361112499978,5084864.273944102
1,Harina de Trigo,3,8,2523.1546189679557,4453047.38386438
1,Harina de Trigo,3,9,3386.040454127392,5875742.077368369
1,Harina de Trigo,3,10,3065.267490759112,5346863.314722696
1,Harina de Trigo,3,11,1078.3677328133633,2070935.4608004272
1,Harina de Trigo,3,12,2350.7620197183683,4168812.7537914105
1,Harina de Trigo,3,13,3854.1930248483804,6647614.961330981
1,Harina de Trigo,3,14,3657.445750037512,6323225.230465746
1,Harina de Trigo,3,15,1745.5077517739367,3170891.591873068
1,Harina de Trigo,3,16,999.2540469097265,1940495.700947551
1,Harina de Trigo,3,17,3127.8400004799023,5450030.586581488
1,Harina de Trigo,3,18,4531.5717270727455,7764452.259939734
1,Harina de Trigo,3,19,969.4773448381359,1891400.9605993407
1,Harina de Trigo,3,20,2426.701154415587,4294018.429398608
1,Harina de Trigo,3,21,2443.6213269480068,4321915.792750966
1,Harina de Trigo,3,22,2892.7843160279726,5062479.347099246
1,Harina de Trigo,3,23,1940.1142667703664,3491751.7160348794
1,Harina de Trigo,3,24,3093.271893653606,5393035.952827692
1,Harina de Trigo,3,25,2863.7083573917976,5014539.966969564
1,Harina de Trigo,3,26,261.4560409724814,724041.2580132831
1,Harina de Trigo,3,27,1250.1388690896315,2354145.4453892265
1,Harina de Trigo,3,28,82.02813766134256,428207.0751979664
1,Harina de Trigo,3,29,4203.575505291331,7223664.052271967
1,Harina de Trigo,3,30,3456.8335034700895,5992463.075133053
1,Harina de Trigo,3,31,1778.5443142682668,3225361.0711913975
1,Harina de Trigo,3,32,2557.051157944437,4508934.761041085
1,Harina de Trigo,3,33,2943.6151830914614,5146287.426790427
1,Harina de Trigo,3,34,2769.2148754284226,4858742.560311279
1,Harina de Trigo,3,35,1100.2615037685603,2107033.111833249
1,Harina de Trigo,3,36,4129.443152053749,7101437.332037784
1,Harina de Trigo,3,37,2889.733961216603,5057450.033339985
1,Harina de Trigo,3,38,1869.9752851716587,3376109.121311073
1,Harina de Trigo,3,39,2437.5867408077493,4311966.187218675
1,Harina de Trigo,3,40,2952.1672187422355,5160387.711258261
1,Harina de Trigo,3,41,6104.005936167444,10357024.433464656
1,Harina de Trigo,3,42,1100.1322418099485,2106819.9894303824
1,Harina de Trigo,3,43,2597.4883647812667,4575606.152832156
1,Harina de Trigo,3,44,346.6773655092876,864551.0696843638
1,Harina de Trigo,3,45,1769.3069952517944,3210130.9165041205
1,Harina de Trigo,3,46,1205.87038340123,2281157.180763572
1,Harina de Trigo,3,47,5875.767652017738,9980713.474953854
1,Harina de Trigo,3,48,3042.8819811446065,5309954.902923288
1,Harina de Trigo,3,49,4027.0563320349793,6932625.677482652
1,Harina de Trigo,3,50,1249.4234577659965,2352965.9012915767
1,Harina de Trigo,4,1,3012.495187773408,5254178.4762642495
1,Harina de Trigo,4,2,4121.83249073373,7092636.748115796
1,Harina de Trigo,4,3,2254.658023496335,3998246.6693523754
1,Harina de Trigo,4,4,4149.966221191571,7139261.601837233
1,Harina de Trigo,4,5,2489.134205691255,4386834.2301944
1,Harina de Trigo,4,6,3402.5882946016377,5900663.451687707
1,Harina de Trigo,4,7,2906.361112499978,5078286.916419417
1,Harina de Trigo,4,8,2523.1546189679557,4443214.836916498
1,Harina de Trigo,4,9,3386.040454127392,5873239.4084143285
1,Harina de Trigo,4,10,3065.267490759112,5341635.804788066
1,Harina de Trigo,4,11,1078.3677328133633,2048830.0138104898
1,Harina de Trigo,4,12,2350.7620197183683,4157515.7990759495
1,Harina de Trigo,4,13,3854.1930248483804,6649089.065532863
1,Harina de Trigo,4,14,3657.445750037512,6323028.043447836
1,Harina de Trigo,4,15,1745.5077517739367,3154453.2386567662
1,Harina de Trigo,4,16,999.2540469097265,1917718.2141098282
1,Harina de Trigo,4,17,3127.8400004799023,5445334.605666496
1,Harina de Trigo,4,18,4531.5717270727455,7771680.431528775
1,Harina de Trigo,4,19,969.4773448381359,1868370.5323128763
1,Harina de Trigo,4,20,2426.701154415587,4283366.547958901
1,Harina de Trigo,4,21,2443.6213269480068,4311407.641565302
1,Harina de Trigo,4,22,2892.7843160279726,5055786.659993716
1,Harina de Trigo,4,23,1940.1142667703664,3476966.4691202557
1,Harina de Trigo,4,24,3093.271893653606,5388046.329352826
1,Harina de Trigo,4,25,2863.7083573917976,5007600.290956956
1,Harina de Trigo,4,26,261.4560409724814,694996.4654124277
1,Harina de Trigo,4,27,1250.1388690896315,2333499.127081748
1,Harina de Trigo,4,28,82.02813766134256,397638.11267060076
1,Harina de Trigo,4,29,4203.575505291331,7228106.024122714
1,Harina de Trigo,4,30,3456.8335034700895,5990561.765470532
1,Harina de Trigo,4,31,1778.5443142682668,3209203.3506643265
1,Harina de Trigo,4,32,2557.051157944437,4499390.151946609
1,Harina de Trigo,4,33,2943.6151830914614,5140026.52803825
1,Harina de Trigo,4,34,2769.2148754284226,4851000.199093071
1,Harina de Trigo,4,35,1100.2615037685603,2085113.6438725041
1,Harina de Trigo,4,36,4129.443152053749,7105249.57851527
1,Harina de Trigo,4,37,2889.733961216603,5050731.4346622685
1,Harina de Trigo,4,38,1869.9752851716587,3360728.0711548356
1,Harina de Trigo,4,39,2437.5867408077493,4301406.774581787
1,Harina de Trigo,4,40,2952.1672187422355,5154199.4587071985
1,Harina de Trigo,4,41,6104.005936167444,10377609.819225464
1,Harina de Trigo,4,42,1100.1322418099485,2084899.4234398084
1,Harina de Trigo,4,43,2597.4883647812667,4566405.042008772
1,Harina de Trigo,4,44,346.6773655092876,836230.1989349001
1,Harina de Trigo,4,45,1769.3069952517944,3193894.7285615206
1,Harina de Trigo,4,46,1205.87038340123,2260134.8189682453
1,Harina de Trigo,4,47,5875.767652017738,9999360.065675765
1,Harina de Trigo,4,48,3042.8819811446065,5304537.236831704
1,Harina de Trigo,4,49,4027.0563320349793,6935568.187932107
1,Harina de Trigo,4,50,1249.4234577659965,2332313.505844454
1,Azúcar,1,1,2.1109469919530817,28729.288558824603
1,Azúcar,1,2,51.24245285941073,130707.48936931264
1,Azúcar,1,3,58.44812682946754,145663.71051742262
1,Azúcar,1,4,27.3173362111156,81048.1046853552
1,Azúcar,1,5,57.17018738859394,143011.19737694162
1,Azúcar,1,6,32.57037291675805,91951.39825583965
1,Azúcar,1,7,19.98110614855763,65820.89906031848
1,Azúcar,1,8,26.510495048309444,79373.41125452933
1,Azúcar,1,9,75.5092215563876,181076.01293701958
1,Azúcar,1,10,41.573525619398296,110638.49725732695
