date,BAGUETTE,BANETTE,BOULE 400G,BRIOCHE,CAMPAGNE,CEREAL BAGUETTE,COMPLET,CROISSANT,DIVERS VIENNOISERIE,ECLAIR,FINANCIER X5,FORMULE SANDWICH,GD KOUIGN AMANN,GRAND FAR BRETON,KOUIGN AMANN,MOISSON,PAIN AU CHOCOLAT,PAIN BANETTE,SAND JB EMMENTAL,SANDWICH COMPLET,SPECIAL BREAD,TARTELETTE,TRADITIONAL BAGUETTE,TRAITEUR,VIK BREAD
2021-01-03,73.8,78.75,33.0,25.0,34.2,43.75,24.0,137.5,34.0,0.0,3.0,0.0,45.0,56.0,18.9,32.0,111.6,15.399999999999999,31.5,9.0,36.0,0.0,358.8,0.0,47.5
2021-01-10,148.5,163.8,49.5,45.0,45.0,58.75,33.0,181.5,98.5,0.0,0.0,221.0,15.0,14.0,33.6,48.0,154.79999999999998,33.599999999999994,21.0,76.5,103.19999999999999,0.0,826.8,0.0,42.5
2021-01-17,151.20000000000002,150.15,39.0,30.0,54.0,60.0,27.0,184.8,64.0,0.0,0.0,227.5,7.5,0.0,35.7,40.0,163.2,27.999999999999996,42.0,94.5,91.2,0.0,727.1999999999999,0.0,57.5
2021-01-24,144.9,139.65,48.0,30.0,45.0,46.25,34.5,152.9,111.0,18.0,30.0,162.5,15.0,21.0,46.2,38.0,123.6,26.599999999999998,42.0,58.5,108.0,68.0,729.5999999999999,0.0,37.5
2021-01-31,150.3,150.15,52.5,45.0,55.800000000000004,62.5,36.0,213.4,49.4,46.0,24.0,260.0,37.5,21.0,31.5,44.0,186.0,25.2,28.0,85.5,100.8,58.0,667.1999999999999,0.0,57.5
2021-02-07,130.5,134.4,40.5,30.0,41.4,53.75,28.5,196.9,93.8,36.0,6.0,253.5,15.0,35.0,25.200000000000003,50.0,183.6,23.799999999999997,31.5,81.0,100.8,106.0,806.4,0.0,45.0
2021-02-14,147.6,154.35,70.5,40.0,57.6,43.75,33.0,203.5,88.6,56.0,24.0,130.0,22.5,56.0,37.800000000000004,56.0,210.0,42.0,7.0,63.0,122.39999999999999,112.0,758.4,0.0,52.5
2021-02-21,171.0,172.20000000000002,66.0,50.0,68.4,90.0,42.0,216.70000000000002,108.8,64.0,27.0,247.0,75.0,91.0,50.4,56.0,189.6,37.8,10.5,72.0,120.0,86.0,1047.6,0.0,47.5
2021-02-28,249.3,258.3,102.0,140.0,124.2,147.5,87.0,445.50000000000006,271.2,128.0,39.0,286.0,120.0,126.0,31.500000000000004,100.0,433.2,56.0,77.0,180.0,170.4,134.0,1868.3999999999999,0.0,67.5
2021-03-07,222.3,244.65,90.0,80.0,104.4,141.25,73.5,272.8,128.5,72.0,39.0,344.5,90.0,98.0,54.6,116.0,315.59999999999997,64.39999999999999,52.5,148.5,124.8,136.0,1605.6,0.0,72.5
2021-03-14,178.20000000000002,214.20000000000002,85.5,55.0,66.60000000000001,63.75,48.0,291.5,80.0,116.0,24.0,266.5,67.5,63.0,33.6,62.0,297.59999999999997,47.599999999999994,52.5,130.5,134.4,168.0,1232.3999999999999,0.0,77.5
2021-03-21,162.9,191.1,58.5,50.0,64.8,60.0,48.0,213.4,80.0,102.0,48.0,416.0,22.5,84.0,44.1,66.0,241.2,35.0,35.0,193.5,115.19999999999999,88.0,1142.3999999999999,0.0,77.5
2021-03-28,174.6,197.4,55.5,25.0,63.0,77.5,57.0,225.50000000000003,58.0,74.0,15.0,253.5,45.0,42.0,27.3,64.0,182.39999999999998,30.799999999999997,73.5,171.0,105.6,98.0,1081.2,0.0,70.0
2021-04-04,239.4,263.55,79.5,85.0,86.4,117.5,67.5,292.6,64.0,86.0,51.0,448.5,112.5,126.0,48.300000000000004,80.0,283.2,51.8,45.5,108.0,127.19999999999999,84.0,1480.8,0.0,75.0
2021-04-11,193.5,225.75,55.5,70.0,72.0,152.5,66.0,239.8,46.0,106.0,30.0,279.5,67.5,42.0,35.7,80.0,225.6,43.4,42.0,126.0,148.79999999999998,84.0,1386.0,0.0,112.5
2021-04-18,189.9,248.85000000000002,82.5,100.0,109.8,167.5,61.5,320.1,98.0,116.0,57.0,383.5,90.0,56.0,46.2,98.0,297.59999999999997,39.199999999999996,35.0,171.0,158.4,108.0,1573.1999999999998,0.0,75.0
2021-04-25,224.1,262.5,70.5,105.0,91.8,175.0,66.0,363.0,136.5,116.0,33.0,383.5,7.5,77.0,56.7,92.0,340.8,54.599999999999994,80.5,211.5,148.79999999999998,92.0,1741.1999999999998,0.0,70.0
2021-05-02,191.70000000000002,269.85,67.5,55.0,95.4,101.25,66.0,308.0,36.0,84.0,57.0,429.0,60.0,56.0,33.6,98.0,271.2,50.4,56.0,166.5,100.8,96.0,1434.0,0.0,102.5
2021-05-09,210.6,274.05,88.5,55.0,100.8,126.25,79.5,334.40000000000003,86.0,110.0,45.0,513.5,52.5,105.0,58.800000000000004,104.0,298.8,49.0,49.0,207.0,160.79999999999998,190.0,1604.3999999999999,0.0,67.5
2021-05-16,347.40000000000003,349.65000000000003,118.5,200.0,115.2,158.75,96.0,603.9000000000001,223.0,180.0,66.0,396.5,307.5,224.0,149.1,108.0,621.6,64.39999999999999,66.5,171.0,232.79999999999998,228.0,2704.7999999999997,0.0,205.0
2021-05-23,120.60000000000001,168.0,25.5,80.0,61.2,50.0,22.5,283.8,106.4,82.0,39.0,201.5,112.5,126.0,48.300000000000004,36.0,216.0,23.799999999999997,31.5,49.5,76.8,76.0,961.1999999999999,0.0,80.0
2021-05-30,236.70000000000002,301.35,76.5,75.0,111.60000000000001,96.25,57.0,394.90000000000003,72.5,104.0,57.0,448.5,75.0,119.0,94.5,88.0,368.4,50.4,73.5,117.0,165.6,118.0,1731.6,0.0,105.0
2021-06-06,247.5,258.3,67.5,60.0,66.60000000000001,111.25,61.5,349.8,61.0,92.0,42.0,728.0,52.5,77.0,35.7,72.0,292.8,46.199999999999996,140.0,153.0,141.6,98.0,1368.0,0.0,62.5
2021-06-13,203.4,238.35000000000002,76.5,80.0,63.0,123.75,67.5,358.6,11.0,64.0,57.0,682.5,75.0,56.0,42.0,80.0,392.4,44.8,84.0,229.5,141.6,82.0,1387.2,0.0,55.0
2021-06-20,219.6,262.5,72.0,60.0,88.2,147.5,61.5,339.90000000000003,11.0,52.0,45.0,565.5,15.0,133.0,52.5,70.0,308.4,40.599999999999994,84.0,202.5,127.19999999999999,90.0,1384.8,0.0,102.5
2021-06-27,227.70000000000002,235.20000000000002,79.5,70.0,88.2,171.25,82.5,352.0,0.0,108.0,39.0,539.5,52.5,84.0,52.5,68.0,283.2,60.199999999999996,63.0,171.0,134.4,114.0,1536.0,0.0,72.5
2021-07-04,186.3,259.35,69.0,95.0,122.4,113.75,75.0,320.1,73.5,86.0,39.0,513.5,82.5,154.0,33.6,100.0,302.4,37.8,56.0,229.5,146.4,98.0,1586.3999999999999,0.0,92.5
