Temporada,Insumo,Media_CTE,DE_CTE
1,Azúcar,125925.08076023948,40991.98936118518
1,Harina de Trigo,4332508.540634611,2292422.702943474
1,Manteca,3855347.366689639,1051040.59035835
1,Sal,135898.2883395908,58933.696990762575
2,Azúcar,268825.51102780586,118623.26841755208
2,Harina de Trigo,10965306.798215117,4322071.246447806
2,Manteca,6967551.735773918,2735078.667697652
2,Sal,335898.7694735746,106455.77741929714
3,Azúcar,209983.7301064448,40080.02341318548
3,Harina de Trigo,7677827.139788802,1285884.6212359164
3,Manteca,4443246.72564886,944107.9422955093
3,Sal,227550.4057267398,29172.68292273349
4,Azúcar,144936.26827360893,48619.11618032025
4,Harina de Trigo,5418385.234448842,1743762.619306091
4,Manteca,3377710.8504569125,964982.6724314855
4,Sal,165329.38828367784,52688.51434363071
