Temporada,Insumo,q,Muestra,Demanda_Total,CTE
1,Harina de Trigo,1,1,951.0538463257053,1825466.1239908417
1,Harina de Trigo,1,2,1028.6983245852964,1954660.4117186707
1,Harina de Trigo,1,3,870.1174908295541,1690794.4121834412
1,Harina de Trigo,1,4,3377.4522761367293,5862801.732523126
1,Harina de Trigo,1,5,2276.2451649136033,4030479.9555689744
1,Harina de Trigo,1,6,4764.922011547609,8171441.937574482
1,Harina de Trigo,1,7,866.1649075240236,1684217.6253173407
1,Harina de Trigo,1,8,-210.88824836632438,-107913.8750714245
1,Harina de Trigo,1,9,325.30353283481287,784266.9574946036
1,Harina de Trigo,1,10,4615.667712366786,7923094.555954968
1,Harina de Trigo,1,11,3779.7579632162133,6532206.664543111
1,Harina de Trigo,1,12,4199.00471381713,7229800.190060833
1,Harina de Trigo,1,13,3622.34721717318,6270287.59867285
1,Harina de Trigo,1,14,3270.7828244655275,5685312.178341253
1,Harina de Trigo,1,15,2055.965967202116,3663952.744780771
1,Harina de Trigo,1,16,1200.5611819193414,2240626.6508877603
1,Harina de Trigo,1,17,5266.5333235806465,9006083.596929375
1,Harina de Trigo,1,18,2187.08381873114,3882122.507993817
1,Harina de Trigo,1,19,4143.000809685498,7136614.110812885
1,Harina de Trigo,1,20,2543.1234061175746,4474544.299296389
1,Harina de Trigo,1,21,2934.0193846135467,5124964.376157703
1,Harina de Trigo,1,22,1255.6865324100143,2332350.8861718024
1,Harina de Trigo,1,23,4653.713519376326,7986399.77801074
1,Harina de Trigo,1,24,2866.421199553833,5012486.327927598
1,Harina de Trigo,1,25,2121.7373644193153,3773391.162126187
1,Harina de Trigo,1,26,4461.9349197457805,7667295.314485695
1,Harina de Trigo,1,27,2713.6835541106357,4758342.9328714
1,Harina de Trigo,1,28,1608.2331134987392,2918960.5905008144
1,Harina de Trigo,1,29,1204.175140953288,2246639.9936744464
1,Harina de Trigo,1,30,4266.56716127698,7342218.773743516
1,Harina de Trigo,1,31,2635.637884577873,4628481.094508396
1,Harina de Trigo,1,32,-17.32469534829886,214160.61010476534
1,Harina de Trigo,1,33,3094.850013437922,5392573.857237799
1,Harina de Trigo,1,34,2621.5694154258076,4605072.271469554
1,Harina de Trigo,1,35,2815.140308160366,4927158.9693551455
1,Harina de Trigo,1,36,3765.4154376013503,6508341.833165981
1,Harina de Trigo,1,37,3453.049937792426,5988590.27886178
1,Harina de Trigo,1,38,3096.1325780324323,5394707.943562634
1,Harina de Trigo,1,39,3127.246235962234,5446478.616312972
1,Harina de Trigo,1,40,3149.0766824936068,5482802.757496223
1,Harina de Trigo,1,41,2388.4687434390735,4217211.138762613
1,Harina de Trigo,1,42,2421.794284490422,4272662.210568118
1,Harina de Trigo,1,43,-262.57945917611863,-193923.972789294
1,Harina de Trigo,1,44,3162.08781759686,5504452.260073538
1,Harina de Trigo,1,45,1518.0340219228342,2768876.41644164
1,Harina de Trigo,1,46,3596.772758917276,6227733.7172835
1,Harina de Trigo,1,47,1059.6018070835562,2006081.369128207
1,Harina de Trigo,1,48,3671.5596886199005,6352173.269597554
1,Harina de Trigo,1,49,2078.7122888002405,3701800.829836772
1,Harina de Trigo,1,50,4222.403986775498,7268734.734679682
1,Harina de Trigo,2,1,951.0538463257053,1898413.9644501852
1,Harina de Trigo,2,2,1028.6983245852964,2025757.2916326316
1,Harina de Trigo,2,3,870.1174908295541,1765671.687987943
1,Harina de Trigo,2,4,3377.4522761367293,5877906.853685124
1,Harina de Trigo,2,5,2276.2451649136033,4071836.665522052
1,Harina de Trigo,2,6,4764.922011547609,8153471.278001994
1,Harina de Trigo,2,7,866.1649075240236,1759189.1264410778
1,Harina de Trigo,2,8,-210.88824836632438,-7266.58937782314
1,Harina de Trigo,2,9,325.30353283481287,872132.0099372643
1,Harina de Trigo,2,10,4615.667712366786,7908681.957756641
1,Harina de Trigo,2,11,3779.7579632162133,6537721.252409522
1,Harina de Trigo,2,12,4199.00471381713,7225320.38796499
1,Harina de Trigo,2,13,3622.34721717318,6279554.688801828
1,Harina de Trigo,2,14,3270.7828244655275,5702960.18408264
1,Harina de Trigo,2,15,2055.965967202116,3710560.673018417
1,Harina de Trigo,2,16,1200.5611819193414,2307626.5058068666
1,Harina de Trigo,2,17,5266.5333235806465,8976155.065161692
1,Harina de Trigo,2,18,2187.08381873114,3925604.7281912314
1,Harina de Trigo,2,19,4143.000809685498,7133469.381335965
1,Harina de Trigo,2,20,2543.1234061175746,4509538.920071173
1,Harina de Trigo,2,21,2934.0193846135467,5150640.45877288
1,Harina de Trigo,2,22,1255.6865324100143,2398036.612242396
1,Harina de Trigo,2,23,4653.713519376326,7971080.20884332
1,Harina de Trigo,2,24,2866.421199553833,5039773.878303131
1,Harina de Trigo,2,25,2121.7373644193153,3818431.1712536453
1,Harina de Trigo,2,26,4461.9349197457805,7656547.540110663
1,Harina de Trigo,2,27,2713.6835541106357,4789271.583835758
1,Harina de Trigo,2,28,1608.2331134987392,2976241.9866482546
1,Harina de Trigo,2,29,1204.175140953288,2313553.6957114106
1,Harina de Trigo,2,30,4266.56716127698,7336128.35583312
1,Harina de Trigo,2,31,2635.637884577873,4661270.269985008
1,Harina de Trigo,2,32,-17.32469534829886,310193.54964405834
1,Harina de Trigo,2,33,3094.850013437922,5414415.911276627
1,Harina de Trigo,2,34,2621.5694154258076,4638196.824064
1,Harina de Trigo,2,35,2815.140308160366,4955669.000824363
1,Harina de Trigo,2,36,3765.4154376013503,6514198.331360457
1,Harina de Trigo,2,37,3453.049937792426,6001893.233376717
1,Harina de Trigo,2,38,3096.1325780324323,5416519.422646043
