Temporada,Insumo,q,Demanda_Total,CTE
1,Harina de Trigo,117.3321,2515.184,4789795.662148269
1,Harina de Trigo,209.9627052631579,2515.184,4537809.447299451
1,Harina de Trigo,302.5933105263158,2515.184,4459527.980402326
1,Harina de Trigo,395.2239157894736,2515.184,4432815.11055336
1,Harina de Trigo,487.8545210526315,2515.184,4428296.320446639
1,Harina de Trigo,580.4851263157894,2515.184,4435346.784673643
1,Harina de Trigo,673.1157315789472,2515.184,4449190.205573658
1,Harina de Trigo,765.7463368421052,2515.184,4467361.397257286
1,Harina de Trigo,858.3769421052631,2515.184,4488459.282852135
1,Harina de Trigo,951.007547368421,2515.184,4511628.6595919365
1,Harina de Trigo,1043.638152631579,2515.184,4536317.946994309
1,Harina de Trigo,1136.2687578947368,2515.184,4562155.427777645
1,Harina de Trigo,1228.8993631578946,2515.184,4588881.460222631
1,Harina de Trigo,1321.5299684210527,2515.184,4616309.1993536865
1,Harina de Trigo,1414.1605736842105,2515.184,4644300.755210666
1,Harina de Trigo,1506.7911789473685,2515.184,4672752.145200674
1,Harina de Trigo,1599.4217842105263,2515.184,4701583.475362375
1,Harina de Trigo,1692.0523894736841,2515.184,4730732.346762461
1,Harina de Trigo,1784.6829947368421,2515.184,4760149.315263465
1,Harina de Trigo,1877.3136,2515.184,4789794.695439268
1,Azúcar,15.7689825,45.43,167259.46825560005
1,Azúcar,28.218179210526316,45.43,133393.55084087557
1,Azúcar,40.66737592105263,45.43,122872.84622607907
1,Azúcar,53.11657263157895,45.43,119282.7516612612
1,Azúcar,65.56576934210526,45.43,118675.4512951683
1,Azúcar,78.01496605263158,45.43,119623.01173479373
1,Azúcar,90.4641627631579,45.43,121483.51796860242
1,Azúcar,102.91335947368421,45.43,123925.6590228988
1,Azúcar,115.36255618421052,45.43,126761.13585507899
1,Azúcar,127.81175289473683,45.43,129875.01268589117
1,Azúcar,140.26094960526316,45.43,133193.15933818487
1,Azúcar,152.71014631578947,45.43,136665.61851866296
